anchor_item,recommended_item,recommendation_rank,cosine_similarity,co_basket_count,anchor_basket_count,recommended_basket_count,recommendation_score
FRZN MEAT/MEAT DINNERS,CHEESE,4,0.2565674428854928,8376,22746,46856,2.3176366050276633
FRZN MEAT/MEAT DINNERS,SOFT DRINKS,5,0.2383951713667573,9617,22746,71545,2.186415477359619
FRZN MEAT/MEAT DINNERS,SOUP,6,0.23051064748553557,5338,22746,23576,1.97842532115052
FRZN MEAT/MEAT DINNERS,BAG SNACKS,7,0.22942308036018863,7089,22746,41975,2.034166118762394
FRZN MEAT/MEAT DINNERS,BEEF,8,0.2238793554043389,6468,22746,36695,1.9644913773928647
FRZN MEAT/MEAT DINNERS,COLD CEREAL,9,0.2224838602433292,5319,22746,25128,1.9087398929079489
FRZN MEAT/MEAT DINNERS,LUNCHMEAT,10,0.21855022664599344,5074,22746,23697,1.8646884120066842
FRZN NOVELTIES/WTR ICE,FLUID MILK PRODUCTS,1,0.18130019298630506,4851,10346,69198,1.5387212566655915
FRZN NOVELTIES/WTR ICE,BAKED BREAD/BUNS/ROLLS,2,0.179978843629201,4494,10346,60263,1.51375183011199
FRZN NOVELTIES/WTR ICE,BAG SNACKS,3,0.16747262882696579,3490,10346,41975,1.3662322449567572
FRZN NOVELTIES/WTR ICE,CHEESE,4,0.16409642477045358,3613,10346,46856,1.344371523996062
FRZN NOVELTIES/WTR ICE,SOFT DRINKS,5,0.16025463827457997,4360,10346,71545,1.3430070518809343
FRZN NOVELTIES/WTR ICE,BEEF,6,0.15181283364161213,2958,10346,36695,1.2133802640836755
FRZN NOVELTIES/WTR ICE,FRZN MEAT/MEAT DINNERS,7,0.15110355330170802,2318,10346,22746,1.1708850152081347
FRZN NOVELTIES/WTR ICE,FROZEN PIZZA,8,0.14831873345040572,2295,10346,23142,1.147827369972675
FRZN NOVELTIES/WTR ICE,COLD CEREAL,9,0.1457480199995212,2350,10346,25128,1.1313830041308222
FRZN NOVELTIES/WTR ICE,TROPICAL FRUIT,10,0.14371931594083787,2634,10346,32466,1.1320250915246874
FRZN POTATOES,FROZEN PIZZA,1,0.2140193763716565,2932,8110,23142,1.708683845470391
FRZN POTATOES,BAKED BREAD/BUNS/ROLLS,2,0.2134136214730483,4718,8110,60263,1.8053409865522965
FRZN POTATOES,BEEF,3,0.20497381447170884,3536,8110,36695,1.674848045940194
FRZN POTATOES,CHEESE,4,0.2010911854871875,3920,8110,46856,1.6638489804828764
FRZN POTATOES,FRZN MEAT/MEAT DINNERS,5,0.19003126528867018,2581,8110,22746,1.4929463486665369
FRZN POTATOES,FROZEN MEAT,6,0.1843284118665646,1504,8110,8209,1.348647705845346
FRZN POTATOES,MEAT - SHELF STABLE,7,0.1806583035820142,1911,8110,13797,1.365036996238526
FRZN POTATOES,DINNER MXS:DRY,8,0.17628665834578694,1831,8110,13302,1.3244704949947008
FRZN POTATOES,FLUID MILK PRODUCTS,9,0.17535142271681758,4154,8110,69198,1.4610399266460747
FRZN POTATOES,CONDIMENTS/SAUCES,10,0.173003101410213,2082,8110,17858,1.3220143479641495
FRZN VEGETABLE/VEG DSH,CHEESE,1,0.23129506556635904,5650,12735,46856,1.9982940265817004
FRZN VEGETABLE/VEG DSH,BAKED BREAD/BUNS/ROLLS,2,0.2267634644796251,6282,12735,60263,1.9831832017737834
FRZN VEGETABLE/VEG DSH,VEGETABLES - SHELF STABLE,3,0.222104447968095,3767,12735,22588,1.828874574990202
FRZN VEGETABLE/VEG DSH,BEEF,4,0.22167355630525626,4792,12735,36695,1.878663837893093
FRZN VEGETABLE/VEG DSH,SOUP,5,0.22063264017205544,3823,12735,23576,1.8200101821677104
FRZN VEGETABLE/VEG DSH,FLUID MILK PRODUCTS,6,0.21343661408200768,6336,12735,69198,1.8684584294652227
FRZN VEGETABLE/VEG DSH,FRZN MEAT/MEAT DINNERS,7,0.2086992868591406,3552,12735,22746,1.7062309529725495
FRZN VEGETABLE/VEG DSH,TROPICAL FRUIT,8,0.19485008715909938,3962,12735,32466,1.6142855442750794
FRZN VEGETABLE/VEG DSH,DRY BN/VEG/POTATO/RICE,9,0.1920688644872695,2496,12735,13261,1.5025250119636204
FRZN VEGETABLE/VEG DSH,EGGS,10,0.18552839564882154,3495,12735,27866,1.5137957044114703
GRAPES,TROPICAL FRUIT,1,0.2604548275599293,4718,10107,32466,2.2032791163648064
GRAPES,BAKED BREAD/BUNS/ROLLS,2,0.21596864438188856,5330,10107,60263,1.8532904574524873
GRAPES,APPLES,3,0.2100425270365955,2427,10107,13210,1.63724435268712
GRAPES,FLUID MILK PRODUCTS,4,0.20498472670363582,5421,10107,69198,1.7625037829992918
GRAPES,BERRIES,5,0.19339095315758412,1856,10107,9113,1.4555990833379269
GRAPES,CHEESE,6,0.19120708359899408,4161,10107,46856,1.5934722254797742
GRAPES,YOGURT,7,0.18275198486470637,2437,10107,17594,1.4252705422375067
GRAPES,VEGETABLES - ALL OTHERS,8,0.17342291153857178,2229,10107,16345,1.3370484826881313
GRAPES,COLD CEREAL,9,0.1721217341698492,2743,10107,25128,1.3627173724410888
GRAPES,BEEF,10,0.16595570698178455,3196,10107,36695,1.3392572694977092
HAIR CARE PRODUCTS,SOAP - LIQUID & BAR,1,0.20766278089154525,1416,7933,5861,1.5068628637698105
HAIR CARE PRODUCTS,FLUID MILK PRODUCTS,2,0.15484663784347685,3628,7933,69198,1.2692333576268557
HAIR CARE PRODUCTS,ORAL HYGIENE PRODUCTS,3,0.15095649066328207,1187,7933,7794,1.0687759542313542
HAIR CARE PRODUCTS,BAKED BREAD/BUNS/ROLLS,4,0.149647406273479,3272,7933,60263,1.2111656371513535
HAIR CARE PRODUCTS,MAKEUP AND TREATMENT,5,0.1424535425794456,795,7933,3926,0.9515325670343129
HAIR CARE PRODUCTS,DEODORANTS,6,0.1420658417575447,825,7933,4251,0.9541986902445829
HAIR CARE PRODUCTS,CHEESE,7,0.13942091599674594,2688,7933,46856,1.1009964691342933
HAIR CARE PRODUCTS,HAND/BODY/FACIAL PRODUCTS,8,0.1375010530719054,653,7933,2843,0.8914340880035764
HAIR CARE PRODUCTS,BATH TISSUES,9,0.1358498942395282,1412,7933,13618,0.9853831843572433
HAIR CARE PRODUCTS,LAUNDRY DETERGENTS,10,0.12900130084315733,1057,7933,8463,0.8983825532501117
HAND/BODY/FACIAL PRODUCTS,SOAP - LIQUID & BAR,1,0.15409067404123009,629,2843,5861,0.9932253116500397
HAND/BODY/FACIAL PRODUCTS,HAIR CARE PRODUCTS,2,0.1375010530719054,653,2843,7933,0.8914340880035764
HEAT/SERVE,BAKED BREAD/BUNS/ROLLS,1,0.15443474485377376,2754,5277,60263,1.2233042882009633
HEAT/SERVE,BEEF,2,0.14645600608139345,2038,5277,36695,1.1160262207807765
HEAT/SERVE,CHEESE,3,0.14347060930434427,2256,5277,46856,1.107850171141287
HEAT/SERVE,FLUID MILK PRODUCTS,4,0.13846803257137183,2646,5277,69198,1.0912917938788982
HEAT/SERVE,SOUP,5,0.1275781474684854,1423,5277,23576,0.9263736455854602
HEAT/SERVE,VEGETABLES - SHELF STABLE,6,0.12511755895972096,1366,5277,22588,0.9033955492275354
HEAT/SERVE,FRZN MEAT/MEAT DINNERS,7,0.12395204761445813,1358,5277,22746,0.8942525946575809
HEAT/SERVE,TROPICAL FRUIT,8,0.12063523949957483,1579,5277,32466,0.8885002684600536
HERBS,ONIONS,1,0.21301152195113746,1517,3261,15553,1.5603411280529056
HERBS,VEGETABLES - ALL OTHERS,2,0.16861266437989614,1231,3261,16345,1.1999141774130897
HERBS,PEPPERS-ALL,3,0.16552725526853423,857,3261,8220,1.1180710770138318
HERBS,MUSHROOMS,4,0.14022201632922848,551,3261,4735,0.8852984372404354
HERBS,TOMATOES,5,0.13908274962112438,981,3261,15256,0.9582233029317389
HERBS,CITRUS,6,0.1374124319837288,789,3261,10110,0.9168202733113666
HERBS,ORGANICS FRUIT & VEGETABLES,7,0.13438603619746503,558,3261,5287,0.8501461520899954
HISPANIC,CHEESE,1,0.30803595202412537,7961,14255,46856,2.7669130718344896
HISPANIC,BEEF,2,0.26929181116625717,6159,14255,36695,2.3497951184348946
HISPANIC,BAG SNACKS,3,0.2595531857967507,6349,14255,41975,2.2727022248548616
HISPANIC,MILK BY-PRODUCTS,4,0.2565699808188105,4299,14255,19695,2.1465594678255275
HISPANIC,VEGETABLES - SHELF STABLE,5,0.2450382968722243,4397,14255,22588,2.0556030357525428
HISPANIC,DRY BN/VEG/POTATO/RICE,6,0.23434397255758385,3222,14255,13261,1.8930465180144564
HISPANIC,BAKED BREAD/BUNS/ROLLS,7,0.23401937660914188,6859,14255,60263,2.0672014392029725
HISPANIC,MISC. DAIRY,8,0.229704627652746,2349,14255,7336,1.7830065090897707
HISPANIC,FLUID MILK PRODUCTS,9,0.22653980502461538,7115,14255,69198,2.009430962140555
HISPANIC,SOUP,10,0.21912057530129037,4017,14255,23576,1.818380759343052
HOT CEREAL,COLD CEREAL,1,0.1897082518555489,2251,5603,25128,1.464466886572001
HOT CEREAL,FLUID MILK PRODUCTS,2,0.16363208102170787,3222,5603,69198,1.3218310581360797
HOT CEREAL,BAKED BREAD/BUNS/ROLLS,3,0.16195607448245378,2976,5603,60263,1.295433414705341
HOT CEREAL,CONVENIENT BRKFST/WHLSM SNACKS,4,0.15803202888976098,1399,5603,13987,1.14481997202983
HOT CEREAL,TROPICAL FRUIT,5,0.15659187001409705,2112,5603,32466,1.1988460630921363
HOT CEREAL,SOUP,6,0.15417655768078448,1772,5603,23576,1.153306686208423
HOT CEREAL,CHEESE,7,0.1533058314114702,2484,5603,46856,1.198549273114556
HOT CEREAL,CRACKERS/MISC BKD FD,8,0.14647640487657232,1652,5603,22702,1.085441001776365
HOT CEREAL,FRUIT - SHELF STABLE,9,0.14251173564588493,1230,5603,13295,1.0140539589333828
HOT CEREAL,EGGS,10,0.14157292509520894,1769,5603,27866,1.0587863652670513
HOT DOGS,BAKED BREAD/BUNS/ROLLS,1,0.3003419980271218,7705,10921,60263,2.687987155946669
HOT DOGS,CHEESE,2,0.2383172741221767,5391,10921,46856,2.047782085672659
HOT DOGS,MEAT - SHELF STABLE,3,0.23478505061546792,2882,10921,13797,1.8704354610375458
HOT DOGS,BEEF,4,0.23368216516232942,4678,10921,36695,1.974810516401368
HOT DOGS,DINNER SAUSAGE,5,0.21920258980136376,2275,10921,9863,1.6944743347351985
HOT DOGS,LUNCHMEAT,6,0.2173169174591654,3496,10921,23697,1.7732323188911945
HOT DOGS,FLUID MILK PRODUCTS,7,0.2146219008014209,5900,10921,69198,1.863535589141752
HOT DOGS,BAG SNACKS,8,0.21125161208679336,4523,10921,41975,1.7781368947954217
HOT DOGS,DINNER MXS:DRY,9,0.19397905154248743,2338,10921,13302,1.5047883735029843
HOT DOGS,CONDIMENTS/SAUCES,10,0.191046115799512,2668,10921,17858,1.507250526252656
HOUSEHOLD CLEANG NEEDS,BROOMS AND MOPS,1,0.2230962916899287,1057,7384,3040,1.553672829956281
HOUSEHOLD CLEANG NEEDS,AIR CARE,2,0.20329394658252725,1078,7384,3808,1.419762224140777
HOUSEHOLD CLEANG NEEDS,LAUNDRY DETERGENTS,3,0.1831726158015464,1448,7384,8463,1.3332455028137222
HOUSEHOLD CLEANG NEEDS,DISHWASH DETERGENTS,4,0.1824396781649943,1237,7384,6226,1.2991990057016103
HOUSEHOLD CLEANG NEEDS,LAUNDRY ADDITIVES,5,0.18144971584301295,1040,7384,4449,1.2607012067953225
HOUSEHOLD CLEANG NEEDS,PAPER TOWELS,6,0.17136421394961002,1485,7384,10170,1.2516173531108983
HOUSEHOLD CLEANG NEEDS,FLUID MILK PRODUCTS,7,0.15696072496478888,3548,7384,69198,1.2830630702868993
HOUSEHOLD CLEANG NEEDS,BAKED BREAD/BUNS/ROLLS,8,0.15596411313728445,3290,7384,60263,1.263145047045041
HOUSEHOLD CLEANG NEEDS,BLEACH,9,0.15186827325295002,777,7384,3545,1.0109455627440842
HOUSEHOLD CLEANG NEEDS,BATH TISSUES,10,0.14569602629341807,1461,7384,13618,1.061768626665444
ICE CREAM/MILK/SHERBTS,FLUID MILK PRODUCTS,1,0.23751595296792913,8849,20059,69198,2.1585860086036925
ICE CREAM/MILK/SHERBTS,BAKED BREAD/BUNS/ROLLS,2,0.21965585170325388,7637,20059,60263,1.9639190424804305
ICE CREAM/MILK/SHERBTS,CHEESE,3,0.20719212504261253,6352,20059,46856,1.8143156391855024
ICE CREAM/MILK/SHERBTS,SOFT DRINKS,4,0.1981628011681971,7507,20059,71545,1.7683502235024826
ICE CREAM/MILK/SHERBTS,BAG SNACKS,5,0.1832384750065984,5317,20059,41975,1.57197586256361
ICE CREAM/MILK/SHERBTS,TROPICAL FRUIT,6,0.1819797984615654,4644,20059,32466,1.5365549178949254
ICE CREAM/MILK/SHERBTS,BEEF,7,0.17946579591455064,4869,20059,36695,1.5238170125536317
ICE CREAM/MILK/SHERBTS,COOKIES/CONES,8,0.1674704974582313,3102,20059,17104,1.3464836771813653
ICE CREAM/MILK/SHERBTS,COLD CEREAL,9,0.16631855867919576,3734,20059,25128,1.3680538195985898
ICE CREAM/MILK/SHERBTS,FROZEN PIZZA,10,0.1659749040730887,3576,20059,23142,1.3580530948226928
IMPORTED WINE,DOMESTIC WINE,1,0.12194247379396467,341,1727,4528,0.7115112553970003
INFANT CARE PRODUCTS,BABY FOODS,1,0.15562747260034415,341,1135,4230,0.9080568481104044
INFANT FORMULA,BABY FOODS,1,0.21580047646989922,718,2617,4230,1.41950561514914
ISOTONIC DRINKS,BAKED BREAD/BUNS/ROLLS,1,0.13288903713237682,2385,5345,60263,1.0335276894759677
ISOTONIC DRINKS,BAG SNACKS,2,0.13078719598704414,1959,5345,41975,0.9914584642131308
ISOTONIC DRINKS,FLUID MILK PRODUCTS,3,0.13020081374878,2504,5345,69198,1.0189572989939375
ISOTONIC DRINKS,CANNED JUICES,4,0.12839768144071814,1333,5345,20165,0.9239416556724149
ISOTONIC DRINKS,CONVENIENT BRKFST/WHLSM SNACKS,5,0.1272203373750002,1100,5345,13987,0.891047952639635
ISOTONIC DRINKS,FROZEN PIZZA,6,0.12048431114403135,1340,5345,23142,0.8676281133026488
LAUNDRY ADDITIVES,LAUNDRY DETERGENTS,1,0.30768662399373053,1888,4449,8463,2.321127236375763
LAUNDRY ADDITIVES,HOUSEHOLD CLEANG NEEDS,2,0.18144971584301295,1040,4449,7384,1.2607012067953225
LAUNDRY ADDITIVES,BLEACH,3,0.17726922111781104,704,4449,3545,1.1625666164410706
LAUNDRY ADDITIVES,DISHWASH DETERGENTS,4,0.14630358364775956,770,4449,6226,0.9725806320258612
LAUNDRY ADDITIVES,AIR CARE,5,0.135081264943226,556,4449,3808,0.8540601102954488
LAUNDRY ADDITIVES,FLUID MILK PRODUCTS,6,0.12789244157762375,2244,4449,69198,0.9868770120725783
LAUNDRY ADDITIVES,BATH TISSUES,7,0.12770224041089398,994,4449,13618,0.881495712515179
LAUNDRY ADDITIVES,BAKED BREAD/BUNS/ROLLS,8,0.12660262931284363,2073,4449,60263,0.9668939542992155
LAUNDRY ADDITIVES,PAPER TOWELS,9,0.126216464527988,849,4449,10170,0.8513598844375883
LAUNDRY DETERGENTS,LAUNDRY ADDITIVES,1,0.30768662399373053,1888,8463,4449,2.321127236375763
LAUNDRY DETERGENTS,BLEACH,2,0.23076863635047018,1264,8463,3545,1.64834053905284
LAUNDRY DETERGENTS,DISHWASH DETERGENTS,3,0.19204192258044706,1394,8463,6226,1.3905082880163457
LAUNDRY DETERGENTS,BATH TISSUES,4,0.18397053215665288,1975,8463,13618,1.3961210711585956
LAUNDRY DETERGENTS,HOUSEHOLD CLEANG NEEDS,5,0.1831726158015464,1448,8463,7384,1.3332455028137222
LAUNDRY DETERGENTS,PAPER TOWELS,6,0.1772063034830799,1644,8463,10170,1.3123005119355577
LAUNDRY DETERGENTS,FLUID MILK PRODUCTS,7,0.17281247367928307,4182,8463,69198,1.4410458855820825
LAUNDRY DETERGENTS,BAKED BREAD/BUNS/ROLLS,8,0.17202971853906657,3885,8463,60263,1.421848956105339
LAUNDRY DETERGENTS,CHEESE,9,0.15421799072671194,3071,8463,46856,1.2383834343844722
LAUNDRY DETERGENTS,COLD CEREAL,10,0.14873679529580813,2169,8463,25128,1.142667819013842
LUNCHMEAT,BAKED BREAD/BUNS/ROLLS,1,0.3602845074558083,13615,23697,60263,3.429548533006638
LUNCHMEAT,CHEESE,2,0.34271792059783834,11420,23697,46856,3.2020851756306588
LUNCHMEAT,FLUID MILK PRODUCTS,3,0.2993016867408901,12120,23697,69198,2.8142424029157604
LUNCHMEAT,BAG SNACKS,4,0.2734429376841036,8624,23697,41975,2.478054813472901
LUNCHMEAT,BEEF,5,0.2639010366306627,7782,23697,36695,2.364473364979374
LUNCHMEAT,SOFT DRINKS,6,0.24896018913220552,10251,23697,71545,2.299204131339064
LUNCHMEAT,COLD CEREAL,7,0.24157843498966755,5895,23697,25128,2.0973910831683438
LUNCHMEAT,CRACKERS/MISC BKD FD,8,0.24006037637243505,5568,23697,22702,2.070513732509792
LUNCHMEAT,EGGS,9,0.23757550857177342,6105,23697,27866,2.070952163929486
LUNCHMEAT,FROZEN PIZZA,10,0.2341802779974369,5484,23697,23142,2.016238887735723
MAKEUP AND TREATMENT,HAIR CARE PRODUCTS,1,0.1424535425794456,795,3926,7933,0.9515325670343129
MARGARINES,CHEESE,1,0.273195535950846,6883,13547,46856,2.4142167003807526
MARGARINES,BAKED BREAD/BUNS/ROLLS,2,0.259341052275363,7410,13547,60263,2.3109156730022846
MARGARINES,EGGS,3,0.2583201676652174,5019,13547,27866,2.201193992847361
MARGARINES,FLUID MILK PRODUCTS,4,0.25358128024088133,7764,13547,69198,2.271424328115371
MARGARINES,BEEF,5,0.22044411571239259,4915,13547,36695,1.8738301983442076
MARGARINES,VEGETABLES - SHELF STABLE,6,0.21757466775799067,3806,13547,22588,1.7938154000685294
MARGARINES,POTATOES,7,0.19889760310333088,2862,13547,15284,1.5831503947846337
MARGARINES,SOUP,8,0.19735531768914413,3527,13547,23576,1.6120942318914948
MARGARINES,DINNER MXS:DRY,9,0.1971105195640435,2646,13547,13302,1.5534639186598764
MARGARINES,REFRGRATD DOUGH PRODUCTS,10,0.19378789258024673,2680,13547,14118,1.529750992482831
MEAT - MISC,BAKED BREAD/BUNS/ROLLS,1,0.21992499085505302,4954,8420,60263,1.8711553490479889
MEAT - MISC,CHEESE,2,0.21391836955938737,4249,8420,46856,1.7872182963093757
MEAT - MISC,BEEF,3,0.2074231247957569,3646,8420,36695,1.7012139852905
MEAT - MISC,CONDIMENTS/SAUCES,4,0.18536467781395669,2273,8420,17858,1.4327384023973715
MEAT - MISC,FLUID MILK PRODUCTS,5,0.17830743216416586,4304,8420,69198,1.4919932188010498
MEAT - MISC,VEGETABLES - SHELF STABLE,6,0.17620220476917514,2430,8420,22588,1.3736826035828102
MEAT - MISC,DINNER MXS:DRY,7,0.17575125168861963,1860,8420,13302,1.3232081956548427
MEAT - MISC,BAG SNACKS,8,0.17505579178851213,3291,8420,41975,1.4178207199889186
MEAT - MISC,PORK,9,0.17058479657400893,1741,8420,12371,1.2730383702919221
MEAT - MISC,DRY BN/VEG/POTATO/RICE,10,0.16665378154264768,1761,8420,13261,1.2456044950268124
MEAT - SHELF STABLE,DINNER MXS:DRY,1,0.3028661333919106,4103,13797,13302,2.5197606358688933
MEAT - SHELF STABLE,BAKED BREAD/BUNS/ROLLS,2,0.29703639214759747,8565,13797,60263,2.6898297301143543
MEAT - SHELF STABLE,CHEESE,3,0.2825867761147543,7185,13797,46856,2.509339478218594
MEAT - SHELF STABLE,SOUP,4,0.2786176805869111,5025,13797,23576,2.374485670138941
MEAT - SHELF STABLE,BEEF,5,0.26016983404678273,5854,13797,36695,2.2569866508325287
MEAT - SHELF STABLE,VEGETABLES - SHELF STABLE,6,0.2549067243145196,4500,13797,22588,2.144289352505093
MEAT - SHELF STABLE,FLUID MILK PRODUCTS,7,0.25137043795667,7767,13797,69198,2.251718067780699
MEAT - SHELF STABLE,CRACKERS/MISC BKD FD,8,0.24240015900170298,4290,13797,22702,2.027501610535928
MEAT - SHELF STABLE,BAG SNACKS,9,0.2414700048792924,5811,13797,41975,2.092984737854082
MEAT - SHELF STABLE,FROZEN PIZZA,10,0.2373984545569109,4242,13797,23142,1.9829954265249663
MELONS,TROPICAL FRUIT,1,0.16632583057670886,1970,4321,32466,1.2617970342881955
MELONS,STONE FRUIT,2,0.1497704974346981,729,4321,5483,0.9874435594876303
MELONS,BERRIES,3,0.1459730409224703,916,4321,9113,0.9956978001842608
MELONS,BAKED BREAD/BUNS/ROLLS,4,0.13459914892725774,2172,4321,60263,1.0342415522153265
MELONS,GRAPES,5,0.12937871957125796,855,4321,10107,0.873600095464155
MELONS,VEGETABLES - ALL OTHERS,6,0.1260118433075226,1059,4321,16345,0.877801548342028
MELONS,FLUID MILK PRODUCTS,7,0.1245102558296187,2153,4321,69198,0.9556264056175259
MILK BY-PRODUCTS,CHEESE,1,0.35946949395637046,10920,19695,46856,3.3425065351587233
MILK BY-PRODUCTS,BAG SNACKS,2,0.28595923559160286,8222,19695,41975,2.5778339715812493
MILK BY-PRODUCTS,FLUID MILK PRODUCTS,3,0.2851271689147237,10526,19695,69198,2.640761919479259
MILK BY-PRODUCTS,BAKED BREAD/BUNS/ROLLS,4,0.276943087330006,9541,19695,60263,2.537756456059936
MILK BY-PRODUCTS,BEEF,5,0.265704684645627,7143,19695,36695,2.357870843840257
MILK BY-PRODUCTS,HISPANIC,6,0.2565699808188105,4299,19695,14255,2.1465594678255275
MILK BY-PRODUCTS,EGGS,7,0.23784597084663056,5572,19695,27866,2.051585323900372
MILK BY-PRODUCTS,VEGETABLES - SHELF STABLE,8,0.23610895587031244,4980,19695,22588,2.010086668301118
MILK BY-PRODUCTS,TROPICAL FRUIT,9,0.22592892678700424,5713,19695,32466,1.9544376244735229
MILK BY-PRODUCTS,SOUP,10,0.2229874073259438,4805,19695,23576,1.8904025969234257
MISC. DAIRY,HISPANIC,1,0.229704627652746,2349,7336,14255,1.7830065090897707
MISC. DAIRY,CHEESE,2,0.2139685450869715,3967,7336,46856,1.772947102279798
MISC. DAIRY,FLUID MILK PRODUCTS,3,0.18006469725283927,4057,7336,69198,1.4960577272699704
MISC. DAIRY,BAKED BREAD/BUNS/ROLLS,4,0.17930248762335954,3770,7336,60263,1.4765731084743503
MISC. DAIRY,SOUP,5,0.16834991203154656,2214,7336,23576,1.2968006657237068
MISC. DAIRY,TROPICAL FRUIT,6,0.16782463472044934,2590,7336,32466,1.3190679264539231
MISC. DAIRY,MILK BY-PRODUCTS,7,0.16247800929359293,1953,7336,19695,1.2311988602770703
MISC. DAIRY,BEEF,8,0.1606616780062471,2636,7336,36695,1.2655958502812086
MISC. DAIRY,CRACKERS/MISC BKD FD,9,0.15923924331792844,2055,7336,22702,1.2147593744932912
MISC. DAIRY,VEGETABLES - SHELF STABLE,10,0.15839762842313873,2039,7336,22588,1.2071016126673302
MOLASSES/SYRUP/PANCAKE MIXS,FRZN BREAKFAST FOODS,1,0.17370331009047052,997,4511,7303,1.199552202763413
MOLASSES/SYRUP/PANCAKE MIXS,BAKED BREAD/BUNS/ROLLS,2,0.15623706475874033,2576,4511,60263,1.2271454658485268
MOLASSES/SYRUP/PANCAKE MIXS,COLD CEREAL,3,0.15488354504243093,1649,4511,25128,1.1474594777558502
MOLASSES/SYRUP/PANCAKE MIXS,FLUID MILK PRODUCTS,4,0.1544615365939751,2729,4511,69198,1.2221084645670743
MOLASSES/SYRUP/PANCAKE MIXS,EGGS,5,0.15144814419444633,1698,4511,27866,1.1264402680757204
MOLASSES/SYRUP/PANCAKE MIXS,CHEESE,6,0.1491902813465352,2169,4511,46856,1.146151717638301
MOLASSES/SYRUP/PANCAKE MIXS,SOUP,7,0.13953697989108182,1439,4511,23576,1.0147685082639823
MOLASSES/SYRUP/PANCAKE MIXS,PNT BTR/JELLY/JAMS,8,0.13617314675227785,931,4511,10362,0.9310611247683459
MOLASSES/SYRUP/PANCAKE MIXS,BAKING MIXES,9,0.1359697418554631,970,4511,11282,0.9352442742911706
MOLASSES/SYRUP/PANCAKE MIXS,CRACKERS/MISC BKD FD,10,0.13508279602647025,1367,4511,22702,0.9754470670634905
MUSHROOMS,ONIONS,1,0.19739962728198437,1694,4735,15553,1.4677526937896883
MUSHROOMS,PEPPERS-ALL,2,0.19010292037859505,1186,4735,8220,1.3457736273138743
MUSHROOMS,VEGETABLES - ALL OTHERS,3,0.185169148802354,1629,4735,16345,1.3695731106099045
MUSHROOMS,SALAD MIX,4,0.16367404123073445,1403,4735,15518,1.1861589664039442
MUSHROOMS,TOMATOES,5,0.15248413829294813,1296,4735,15256,1.0929772069187724
MUSHROOMS,CHEESE,6,0.15226512839452774,2268,4735,46856,1.1765670338416498
MUSHROOMS,SQUASH,7,0.14747629997154166,457,4735,2028,0.9035679976828183
MUSHROOMS,ORGANICS FRUIT & VEGETABLES,8,0.14170382990374358,709,4735,5287,0.930323190586897
MUSHROOMS,BEEF,9,0.14034866653353534,1850,4735,36695,1.0559105699096625
MUSHROOMS,HERBS,10,0.14022201632922848,551,4735,3261,0.8852984372404354
OLIVES,CHEESE,1,0.1360104012698673,1513,2641,46856,0.9959375824307757
OLIVES,PICKLE/RELISH/PKLD VEG,2,0.1346467225602801,543,2641,6158,0.8481328716626974
OLIVES,SALD DRSNG/SNDWCH SPRD,3,0.12312703088329857,819,2641,16753,0.8260967227084326
OLIVES,HISPANIC,4,0.12158248512587173,746,2641,14255,0.8043976469632086
OLIVES,VEGETABLES - ALL OTHERS,5,0.12008820135681149,789,2641,16345,0.8012324358138087
ONIONS,PEPPERS-ALL,1,0.3075117366367512,3477,15553,8220,2.5075161067185174
ONIONS,VEGETABLES - ALL OTHERS,2,0.29553283050427526,4712,15553,16345,2.499640301435164
ONIONS,POTATOES,3,0.28343653913621447,4370,15553,15284,2.3759768250222137
ONIONS,TOMATOES,4,0.27460784585318015,4230,15553,15256,2.29302869088114
ONIONS,CHEESE,5,0.27041648828943987,7300,15553,46856,2.4055619657113225
ONIONS,BEEF,6,0.26781426373527767,6398,15553,36695,2.347096624418858
ONIONS,VEGETABLES - SHELF STABLE,7,0.25699854867330907,4817,15553,22588,2.1793770376598713
ONIONS,BAKED BREAD/BUNS/ROLLS,8,0.25376554855024697,7769,15553,60263,2.2732382405617493
ONIONS,FLUID MILK PRODUCTS,9,0.2297137716844601,7536,15553,69198,2.0507879598407643
ONIONS,TROPICAL FRUIT,10,0.22549111086545107,5067,15553,32466,1.9235973670411535
ORAL HYGIENE PRODUCTS,FLUID MILK PRODUCTS,1,0.15691027963186316,3644,7794,69198,1.2868387214216424
ORAL HYGIENE PRODUCTS,DEODORANTS,2,0.15166608994163888,873,7794,4251,1.0272466174361217
ORAL HYGIENE PRODUCTS,SOAP - LIQUID & BAR,3,0.15121150446134943,1022,7794,5861,1.047970540221053
ORAL HYGIENE PRODUCTS,HAIR CARE PRODUCTS,4,0.15095649066328207,1187,7794,7933,1.0687759542313542
ORAL HYGIENE PRODUCTS,BAKED BREAD/BUNS/ROLLS,5,0.1457619102653304,3159,7794,60263,1.1745971817505152
ORAL HYGIENE PRODUCTS,CHEESE,6,0.1359491011423657,2598,7794,46856,1.0689517449979662
ORAL HYGIENE PRODUCTS,TROPICAL FRUIT,7,0.1326440771086073,2110,7794,32466,1.015379407154785
ORAL HYGIENE PRODUCTS,SHAVING CARE PRODUCTS,8,0.13258931896372408,671,7794,3286,0.863190719647869
ORAL HYGIENE PRODUCTS,BATH TISSUES,9,0.13074669814352033,1347,7794,13618,0.9422100364364422
