anchor_item,recommended_item,recommendation_rank,cosine_similarity,co_basket_count,anchor_basket_count,recommended_basket_count,recommendation_score
BEERS/ALES,BEEF,6,0.13245865193284437,3159,15500,36695,1.0673951718633423
BERRIES,TROPICAL FRUIT,1,0.25458327434190026,4379,9113,32466,2.1346308578931334
BERRIES,FLUID MILK PRODUCTS,2,0.19373379608516791,4865,9113,69198,1.6448052609648864
BERRIES,GRAPES,3,0.19339095315758412,1856,9113,10107,1.4555990833379269
BERRIES,BAKED BREAD/BUNS/ROLLS,4,0.18801324006724107,4406,9113,60263,1.5776095961254244
BERRIES,YOGURT,5,0.17966704378235018,2275,9113,17594,1.3888576533827228
BERRIES,CHEESE,6,0.17465201132275798,3609,9113,46856,1.430655497590304
BERRIES,APPLES,7,0.1693415831900144,1858,9113,13210,1.2747685518090213
BERRIES,VEGETABLES - ALL OTHERS,8,0.16583926357829165,2024,9113,16345,1.2625882079892319
BERRIES,TOMATOES,9,0.16020679518109346,1889,9113,15256,1.2086532688131044
BERRIES,STONE FRUIT,10,0.1567472579689983,1108,9113,5483,1.0989885675510571
BLEACH,LAUNDRY DETERGENTS,1,0.23076863635047018,1264,3545,8463,1.64834053905284
BLEACH,LAUNDRY ADDITIVES,2,0.17726922111781104,704,3545,4449,1.1625666164410706
BLEACH,HOUSEHOLD CLEANG NEEDS,3,0.15186827325295002,777,3545,7384,1.0109455627440842
BLEACH,DISHWASH DETERGENTS,4,0.12984258617358638,610,3545,6226,0.8329527797331499
BREAD,CHEESE,1,0.15576074985195162,3007,7954,46856,1.247492625093751
BREAD,FLUID MILK PRODUCTS,2,0.14948451315247788,3507,7954,69198,1.22021238628715
BREAD,TROPICAL FRUIT,3,0.14866507841515078,2389,7954,32466,1.1564728767931303
BREAD,CHEESES,4,0.1482784681348845,1407,7954,11320,1.0750078526765234
BREAD,VEGETABLES - ALL OTHERS,5,0.13295783830261707,1516,7954,16345,0.9738483543233611
BREAD,BEEF,6,0.13047095135378045,2229,7954,36695,1.0058993128116742
BREAD,ONIONS,7,0.12578180861949084,1399,7954,15553,0.9111920389636702
BREAD,BAKED BREAD/BUNS/ROLLS,8,0.12551584700844434,2748,7954,60263,0.9939590496055689
BREAD,DELI MEATS,9,0.12513658494364993,1460,7954,17114,0.9118548290729205
BREAD,TOMATOES,10,0.12282440338813484,1353,7954,15256,0.8856644744878787
BREAKFAST SAUSAGE/SANDWICHES,EGGS,1,0.25885355017337613,4526,10971,27866,2.1789812320755995
