household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,coupon_dependency,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,Campaigns_Last_30D,Days_Since_Last_Camp,has_demographic_info,Primary_Store_ID
1461,0,206,5373.71,3.2702432,621,3,0.004830917874396135,0.9140127388535032,0.004854368696389869,8.063106404703573,0.00037218235,0.8296949237511232,0.34175152749490834,0.5972278817887163,0.19364043948780904,-3.000000000000003,3.0,1.0,0.0,0.0,64.0,1,316
1462,0,108,4261.91,2.2989533,562,2,0.0035587188612099642,0.836555360281195,0.06481480881344362,15.842591125686006,0.0022736285,0.6108346214137923,0.07917737789203085,0.4333504867043207,0.1595470913044411,1.4999999999999993,3.0,3.0,0.0,1.0,27.0,1,31862
1463,0,100,2356.73,2.9932551,623,11,0.01765650080256822,0.6777777777777778,0.1099999890000011,7.7099992290000765,0.034356926,0.9610987101864535,0.37869292748433303,0.5560538066721632,0.31390134247622115,0.4999999999999998,5.0,0.0,0.0,0.0,64.0,0,372
1464,1,70,2329.12,2.5536723,563,16,0.028419182948490232,0.6017543859649123,0.0285714244897965,12.985712430612509,0.0008586934,0.9523372486945775,0.38666666666666666,0.678539619959576,0.4096170934139173,-2.5000000000000004,2.0,0.0,0.0,0.0,64.0,0,295
1465,0,50,900.1,2.1485147,627,4,0.006379585326953748,0.39747634069400634,0.0599999880000024,6.039998792000241,0.0035996002,0.9410097857494688,0.18823529411764706,0.39644969241273104,0.15384614929449264,-0.5000000000000007,0.0,0.0,0.0,0.0,651.0,0,391
1466,0,30,927.08,4.359578,646,67,0.10371517027863777,0.2572741194486983,0.0,7.666664111111963,0.0,1.172764635177666,0.27522935779816515,0.43999998646153893,0.10153845841420128,-0.5000000000000002,0.0,0.0,0.0,0.0,651.0,0,439
1467,0,730,2173.67,2.3040366,641,1,0.0015600624024961,0.691358024691358,0.0013698629949333836,1.8945205219928696,0.00046005144,2.9750135071632515,0.0901111761263897,0.6813122397111175,0.12185120022348447,-13.000000000000018,2.0,0.0,0.0,0.0,64.0,1,433
1468,1,68,3487.97,2.1553798,608,83,0.13651315789473684,0.5121951219512195,0.014705880190311736,17.70587974913533,0.0002866997,2.159500791349139,0.2885714285714286,0.36480686434329856,0.10300429110869606,-1.0000000000000004,2.0,1.0,0.0,1.0,27.0,1,403
1469,1,44,1146.51,2.1189446,628,90,0.160828025477707,0.30866141732283464,0.0,10.318179473141027,0.0,1.2937010309874168,0.521311475409836,0.6101973583849118,0.18256578647095748,0.0,0.0,0.0,0.0,0.0,651.0,0,364
147,0,31,1259.01,1.8534768,587,11,0.018739352640545145,0.2946127946127946,0.03225805411030513,22.193541227889927,0.00043685117,0.9643063007509904,0.4061181434599156,0.802325572914106,0.5306553855110424,1.0000000000000002,0.0,0.0,0.0,0.0,651.0,0,341
1470,0,105,1484.5599,2.6470578,546,1,0.0018315018315018315,0.759493670886076,0.009523808616780132,4.7523804997732855,0.0006736003,0.8480081717298565,0.23323170731707318,0.5305810316424919,0.19113149554844808,-0.5000000000000019,3.0,3.0,0.0,0.0,64.0,1,316
1471,0,24,228.93,3.6996677,602,1,0.0016611295681063123,0.26436781609195403,0.04166664930556279,2.7499988541671443,0.0032761104,0.9107027126592698,0.28846153846153844,0.4901960303729382,0.19607841214917526,-1.0000000000000009,0.0,0.0,0.0,0.0,651.0,0,421
1472,0,4,269.54,5.1136518,564,90,0.4148936170212766,0.03677758318739054,0.49999875000312505,18.499953750115626,0.022260146,1.6073435380376182,0.18888888888888888,0.522727213326453,0.2386363365185981,0.0,0.0,0.0,0.0,0.0,651.0,0,31782
1473,0,106,3865.64,2.3218145,544,2,0.003676470588235294,0.7622504537205083,0.02830188412246376,11.886791331434779,0.0008148716,1.0155550205815724,0.2544757033248082,0.4238156182854314,0.10243277783333689,-1.6616296724220897e-15,2.0,4.0,0.0,1.0,5.0,0,374
1474,0,61,2026.39,3.565783,566,9,0.015901060070671377,0.46422338568935423,0.0,12.836063469497791,0.0,1.78110606949374,0.2708113804004215,0.6578669413108031,0.17001055786683678,1.4999999999999993,1.0,0.0,0.0,0.0,64.0,1,400
