household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,coupon_dependency,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Primary_Store_ID,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,has_demographic_info,future_revenue_60d,discounted_future_revenue_60d,future_txn_count_60d,first_future_day,last_future_day,future_active_flag,annual_discount_rate,value_horizon_start_day,value_horizon_end_day
41,0,65,2671.5,1.823664,580,6,0.0103448275862068,0.596252129471891,0.0,13.876920942012164,0.0,9.40983606557377,5.508711431845407,0.5854199307254566,0.1597774244833068,0.5525477663013713,0.1480891707954683,-9.495026699554801e-16,330,1.0,0.0,0.0,1.0,0.0,64.0,0,435.63,433.00624270395605,143.0,651.0,707.0,1,0.08,651,711
410,0,117,1070.79,1.916278,634,1,0.001577287066246,0.6443057722308893,0.0256410234494851,4.008546665936183,0.0038196098,5.702702702702703,11.969350703582723,2.098887201157803,0.3545994065281899,0.4806547547521614,0.3660714231239371,-1.4999999999999998,370,1.0,0.0,0.0,1.0,0.0,239.0,1,77.63,77.22975677249404,35.0,656.0,711.0,1,0.08,651,711
411,0,138,6146.0,4.5405803,562,4,0.0071174377224199,0.7258347978910369,0.0507246340054613,9.224637012707465,0.0035942076,5.214953271028038,5.300459284804599,1.016394365469751,0.2639000805801773,0.5588709654884235,0.1903225798777315,-2.0000000000000013,382,3.0,1.0,1.0,5.0,0.0,36.0,1,101.76,100.80200435895198,23.0,676.0,705.0,1,0.08,651,711
412,0,86,2115.97,2.2947395,568,9,0.0158450704225352,0.7304347826086957,0.1046511506219592,13.534882147106726,0.008237357,6.654761904761905,4.818373588568367,0.7240478948828464,0.2115830115830115,0.5622583096499744,0.2985305468017746,-7.121270024666099e-16,313,2.0,2.0,0.0,4.0,1.0,5.0,1,228.34,226.72996010313759,135.0,653.0,711.0,1,0.08,651,711
413,1,225,4248.14,2.4685378,614,2,0.003257328990228,0.9017713365539451,0.0177777769876543,6.0711108412839625,0.0010710569,3.1384615384615384,2.6352698354194866,0.839666634896833,0.387331256490135,0.4469854446622378,0.1060291054780192,0.9999999999999988,448,5.0,2.0,1.0,8.0,0.0,36.0,1,307.46,305.9650581461064,91.0,654.0,702.0,1,0.08,651,711
414,0,127,2144.45,2.0366223,624,2,0.0032051282051282,0.6656101426307449,0.0236220453840909,6.740156949593941,0.0009792721,6.688172043010753,6.730815724554162,1.0063744798316252,0.3424390243902439,0.4897360655939778,0.1153470174452882,1.0,310,3.0,1.0,0.0,4.0,0.0,64.0,0,192.14,190.84549155196262,93.0,665.0,704.0,1,0.08,651,711
415,0,9,305.4,14.232534,534,46,0.0861423220973782,0.1035120147874306,0.2222219753089163,4.666661481487243,0.013097577,69.71428571428571,97.22776401439094,1.3946603493330167,0.1351351351351351,0.6527776871142101,0.1805555304783985,-0.5000000000000003,304,0.0,0.0,0.0,0.0,0.0,651.0,0,209.23,208.05975926652746,48.0,659.0,694.0,1,0.08,651,711
416,1,29,2177.04,1.7339573,583,76,0.1303602058319039,0.2847457627118643,0.0689654934601746,29.655162187875103,0.00071197585,19.5,24.29526702878567,1.2459104907528595,0.327683615819209,0.5622641456390175,0.1433962250622997,-0.5000000000000002,400,0.0,0.0,0.0,0.0,0.0,651.0,0,0.0,0.0,0.0,,,0,0.08,651,711
417,0,75,2671.06,1.9922302,546,2,0.0036630036630036,0.5822784810126582,0.0266666631111115,14.493331400889144,0.00056157477,8.0,6.279556976482937,0.784943640880816,0.3747454175152749,0.5506458154272889,0.1985044174132942,0.4999999999999994,421,0.0,0.0,0.0,0.0,0.0,651.0,1,333.61,331.1488136259896,128.0,659.0,703.0,1,0.08,651,711
418,0,209,5759.41,2.3001993,560,1,0.0017857142857142,0.925925925925926,0.028708132597697,9.344497160550375,0.00086814445,3.25,2.8554349531953664,0.8785926668519071,0.2930194805194805,0.5584890310378187,0.1425670181049268,-1.000000000000003,384,3.0,7.0,0.0,10.0,1.0,5.0,1,349.99,348.8201371781774,108.0,657.0,711.0,1,0.08,651,711
419,1,44,1601.59,3.782152,571,10,0.0175131348511383,0.3875432525951557,0.0909090702479385,8.31817992768638,0.0073676785,13.682926829268292,15.93022131734246,1.1642399227676872,0.3393854748603352,0.6708683379430205,0.3207282868245338,0.9999999999999996,324,1.0,0.0,0.0,1.0,0.0,64.0,0,0.0,0.0,0.0,,,0,0.08,651,711
42,0,79,1787.72,1.4433875,551,5,0.0090744101633393,0.8906810035842294,0.1392404887037356,10.835441666399788,0.0069921464,7.090909090909091,3.724675253176684,0.5252739744205941,0.4714400643604183,0.6067687300018636,0.2030620451002252,0.4999999999999998,380,3.0,0.0,0.0,3.0,0.0,64.0,1,196.65,195.55757179530514,92.0,651.0,710.0,1,0.08,651,711
420,0,91,1912.6799,2.446951,625,1,0.0016,0.5316455696202531,0.0,7.670328827436392,0.0,8.103896103896103,13.931773997804648,1.719143067453199,0.1832402234636871,0.5027995464412145,0.1489361685449477,1.0000000000000002,32004,5.0,0.0,0.0,5.0,0.0,64.0,0,211.41,209.08865464128993,93.0,664.0,711.0,1,0.08,651,711
421,1,133,4092.01,2.6003556,571,1,0.0017513134851138,0.8114186851211073,0.1353383356888469,11.030074358641023,0.017888518,5.0,3.800326022344162,0.7600636843414638,0.3996101364522417,0.6775609723045806,0.371219510384295,-1.0000000000000016,306,3.0,2.0,2.0,7.0,0.0,36.0,0,546.48,543.8734494055153,211.0,657.0,695.0,1,0.08,651,711
422,0,18,863.24,3.5878088,553,26,0.0470162748643761,0.175,0.3888886728396262,16.611101882721176,0.011873871,35.13333333333333,56.31400062743426,1.602864836777587,0.2189473684210526,0.6257927986090318,0.3742071802493197,-1.0000000000000009,355,0.0,0.0,0.0,0.0,0.0,651.0,0,120.08,118.62645614032617,33.0,706.0,711.0,1,0.08,651,711
423,0,14,230.85,1.1500567,573,62,0.1082024432809773,0.1206896551724137,0.2857140816327988,8.142851326534768,0.034654535,42.583333333333336,98.38926247155716,2.310510513497895,0.2052980132450331,0.6375838498265872,0.2550335399306349,-2.5000000000000004,400,0.0,0.0,0.0,0.0,0.0,651.0,0,0.0,0.0,0.0,,,0,0.08,651,711
424,0,23,2342.07,4.9509487,548,5,0.0091240875912408,0.2522522522522522,0.0,24.04346780718791,0.0,24.681818181818183,44.42691844198833,1.7999849166244226,0.2630952380952381,0.3484486831927365,0.1085918841456815,-9.495026699554801e-16,320,0.0,0.0,0.0,0.0,0.0,651.0,0,96.84,96.1077013138732,24.0,687.0,687.0,1,0.08,651,711
425,0,135,4858.97,2.0885797,622,1,0.0016077170418006,0.7901430842607313,0.0148148137174212,13.7629619434843,0.00021609516,5.175,3.787778888420366,0.7319365350830948,0.4322438486962908,0.5718485829774032,0.215361998473495,-0.5000000000000002,288,5.0,2.0,1.0,8.0,1.0,27.0,0,684.94,680.3434629795695,268.0,656.0,710.0,1,0.08,651,711
426,0,147,4932.61,1.9251823,549,1,0.0018214936247723,0.9316546762589928,0.2176870600212884,13.761903825720829,0.007764652,3.859154929577465,2.4771052348701126,0.641875970597952,0.4058286211396259,0.478450150289725,0.2098389194173316,-1.0000000000000018,406,3.0,0.0,0.0,3.0,0.0,64.0,1,536.47,532.8138783810421,220.0,653.0,710.0,1,0.08,651,711
427,0,43,785.72,5.0526457,642,9,0.014018691588785,0.2696456086286595,0.0,4.697673326122482,0.0,15.825,42.35435829600853,2.676419054143317,0.2847457627118644,0.2320819033419145,0.0511945375018929,-1.5000000000000009,445,0.0,0.0,0.0,0.0,0.0,651.0,0,287.29,285.3830666680281,91.0,652.0,710.0,1,0.08,651,711
428,0,93,3331.7,1.6261103,583,31,0.0531732418524871,0.723728813559322,0.0215053740316802,16.688170248583845,0.0006753309,6.133333333333334,4.482675765931761,0.7308698571575852,0.4403940886699507,0.679487176136651,0.2381656792989858,-0.5000000000000006,443,3.0,2.0,0.0,5.0,1.0,27.0,1,23.289999,23.089621229501304,7.0,691.0,693.0,1,0.08,651,711
429,0,40,501.49,3.4503264,543,43,0.0791896869244935,0.3818181818181818,0.0499999875000031,4.199998950000262,0.006979202,13.513513513513514,15.32539943583422,1.1340787190334802,0.3169642857142857,0.5360360118902697,0.4549549344614894,-1.5000000000000002,439,0.0,0.0,0.0,0.0,0.0,651.0,0,41.4,41.077963223735004,17.0,673.0,709.0,1,0.08,651,711
43,0,87,740.59,6.1663804,536,9,0.0167910447761194,0.6445672191528545,0.0344827546571546,3.999999540229938,0.0082366755,6.8441558441558445,8.252694831107776,1.2057999497710388,0.3147208121827411,0.4719387634709499,0.1147959154388797,0.4999999999999997,345,2.0,3.0,0.0,5.0,0.0,48.0,1,41.27,40.957879566511856,26.0,663.0,710.0,1,0.08,651,711
430,0,88,1606.9299,2.987712,548,2,0.0036496350364963,0.5297297297297296,0.0795454455061993,6.636362882231491,0.006808013,7.690140845070423,12.659938556943851,1.646253605683065,0.2802450229709035,0.5360983020568617,0.1628264183897631,-2.500000000000002,433,0.0,1.0,0.0,1.0,0.0,370.0,0,750.16,745.5363191652963,279.0,651.0,706.0,1,0.08,651,711
431,0,33,514.46,3.9787807,559,31,0.0554561717352415,0.3215547703180212,0.0303030211202966,4.3636350413227145,0.0019437856,17.032258064516128,17.74351312633764,1.0417586817637794,0.384180790960452,0.6399999634285735,0.3371428378775521,-1.5000000000000009,427,0.0,0.0,0.0,0.0,0.0,651.0,0,17.21,17.133191056295665,5.0,656.0,710.0,1,0.08,651,711
432,0,211,2841.17,3.9629638,648,5,0.007716049382716,0.8549618320610687,0.0142180088048337,4.644549542912344,0.00228779,3.494565217391304,4.242637187143672,1.2140637769161526,0.4081796311146752,0.5799196740568701,0.1686746974403638,2.4999999999999987,368,2.0,0.0,0.0,2.0,0.0,147.0,1,418.06,414.963113077305,173.0,651.0,711.0,1,0.08,651,711
433,0,69,848.48,1.4580163,639,2,0.0031298904538341,0.5526315789473684,0.0,5.086955784499161,0.0,10.616666666666667,8.387019160314361,0.789985362052817,0.2569593147751606,0.4064516041623311,0.0967741914672216,-1.0000000000000009,445,2.0,0.0,0.0,2.0,0.0,147.0,0,101.34,100.84757828567561,23.0,655.0,696.0,1,0.08,651,711
434,0,103,3478.81,2.2145224,577,3,0.0051993067590987,0.8150684931506849,0.0,14.320386959185733,0.0,6.172043010752688,3.62846133372038,0.5878856398995649,0.2009291521486643,0.5162790667658194,0.1406976736005949,0.9999999999999994,381,3.0,4.0,2.0,9.0,1.0,27.0,1,291.94,289.8825917239799,163.0,655.0,708.0,1,0.08,651,711
435,0,61,838.27,5.6843066,574,6,0.0104529616724738,0.4578313253012048,0.0655737597420065,2.672130709486769,0.014911663,11.137254901960784,12.69333621683935,1.1397175454275683,0.18122555410691,0.7084967227647487,0.5163398625315051,-1.5000000000000018,3333,0.0,0.0,0.0,0.0,0.0,651.0,0,968.91,962.4676367475696,95.0,655.0,711.0,1,0.08,651,711
436,0,28,2107.24,2.5292413,534,12,0.0224719101123595,0.3364140480591497,0.0,23.6785629719418,0.0,20.07692307692308,15.364694795336684,0.7652909304657316,0.1845238095238095,0.4367541713991149,0.1360381845341505,-4.747513349777401e-16,420,0.0,1.0,0.0,1.0,0.0,90.0,0,196.37,195.48577064163933,61.0,656.0,697.0,1,0.08,651,711
437,0,63,5035.0,4.2926497,642,26,0.0404984423676012,0.4853620955315871,0.5079364273116782,24.92063096497921,0.018935451,10.807017543859647,9.571980308042004,0.8857181374984672,0.2449086161879895,0.4025091458311075,0.112388917342452,-0.5000000000000007,361,4.0,3.0,1.0,8.0,0.0,48.0,1,306.32,304.635400106751,129.0,654.0,701.0,1,0.08,651,711
438,0,56,3428.67,3.4991674,548,3,0.0054744525547445,0.4918918918918918,0.3571427933673583,19.80356789222002,0.017149508,10.68627450980392,16.041808122625614,1.5011586214000174,0.3197674418604651,0.5305676817280373,0.1826783101697357,-0.5000000000000009,320,1.0,0.0,1.0,2.0,0.0,36.0,1,1027.85,1021.2795937948242,366.0,651.0,704.0,1,0.08,651,711
439,0,35,545.61,2.4275956,549,22,0.0400728597449908,0.2517985611510791,0.0,4.942855730612648,0.0,18.17241379310345,44.36622667035723,2.441403919228127,0.1492537313432835,0.2562813941567138,0.0552763791318402,-0.5000000000000002,340,0.0,1.0,0.0,1.0,0.0,370.0,0,21.61,21.392460065608862,9.0,659.0,711.0,1,0.08,651,711
44,1,31,875.18,2.4112809,570,23,0.0403508771929824,0.3032928942807625,0.0,10.45160953173886,0.0,20.25925925925926,19.28250022208777,0.9517865612687352,0.2121212121212121,0.5659898333505119,0.1370558340848773,0.5000000000000001,304,0.0,0.0,0.0,0.0,0.0,651.0,0,0.0,0.0,0.0,,,0,0.08,651,711
440,0,6,83.88,2.82359,538,90,0.3011152416356877,0.0385321100917431,0.0,4.4999925000125005,0.0,188.0,207.88939366884497,1.1057945883558462,0.21875,0.2333332555555815,0.0333333222222259,0.0,3177,0.0,0.0,0.0,0.0,0.0,651.0,0,0.0,0.0,0.0,,,0,0.08,651,711
441,0,68,2184.65,2.1344976,535,6,0.011214953271028,0.7878228782287823,0.0147058801903117,11.147057184256296,0.00016020873,7.895522388059701,4.064384587051388,0.5147701747380452,0.3366733466933868,0.4427710798918566,0.1285140549345978,-1.0000000000000009,315,1.0,0.0,0.0,1.0,0.0,147.0,1,181.26,180.70125808272243,56.0,652.0,709.0,1,0.08,651,711
442,0,135,1916.91,3.79937,574,1,0.0017421602787456,0.5180722891566265,0.0148148137174212,5.785184756652981,0.004976759,4.982608695652174,9.559584708640752,1.9185864487247304,0.2451282051282051,0.5159301077499475,0.1932168531015739,4.999999999999998,34011,1.0,1.0,0.0,2.0,0.0,216.0,1,775.84,769.6604812083837,254.0,652.0,711.0,1,0.08,651,711
443,0,87,2278.57,2.303875,581,5,0.0086058519793459,0.6666666666666666,0.0689655093143092,9.586205794688988,0.006600631,7.291139240506329,14.671751943641503,2.0122687740544225,0.4485025566106647,0.5149963385881761,0.2158010225618067,-0.5000000000000016,424,3.0,1.0,0.0,4.0,0.0,64.0,1,300.64,298.4188692514125,120.0,651.0,711.0,1,0.08,651,711
444,1,44,1247.82,3.7883983,583,80,0.137221269296741,0.3322033898305084,0.0227272675619846,9.159088827479811,0.00024041931,16.766666666666666,18.516876427834102,1.1043856093823865,0.3436293436293436,0.6201550267411817,0.1356589120996335,-1.0000000000000004,427,0.0,0.0,0.0,0.0,0.0,651.0,0,0.0,0.0,0.0,,,0,0.08,651,711
445,1,231,2685.17,2.4860916,579,15,0.0259067357512953,0.8600682593856656,0.0129870124248046,3.506493354697257,0.002271737,3.150837988826816,3.5386528369665218,1.1230795168522556,0.2303664921465968,0.5351521454863364,0.1773347305631193,0.9999999999999998,293,3.0,3.0,0.0,6.0,1.0,27.0,0,0.0,0.0,0.0,,,0,0.08,651,711
