household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,Discount_Per_Transaction,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,has_demographic_info,Primary_Store_ID,future_revenue_60d,discounted_future_revenue_60d,future_txn_count_60d,first_future_day,last_future_day,future_active_flag,annual_discount_rate,value_horizon_start_day,value_horizon_end_day
221,1,67,2560.94,1.6195964,554,4,0.0072202166064981,0.7486631016042781,0.0597014925373134,17.104477611940297,0.0582089566472751,8.333333333333334,3.7512391115196686,0.4501481532045763,0.507537688442211,0.6314465369091413,0.2201257847790831,0.4999999999999998,3.0,0.0,64.0,3.0,0.0,0.0,1,422,208.85,207.6848480947766,92.0,657.0,695.0,1,0.08,651,711
2210,0,34,1727.97,5.9078045,545,3,0.0055045871559633,0.3170289855072463,0.0,14.852941176470589,0.0,17.483870967741936,26.620632308721163,1.5225814198710623,0.2010309278350515,0.5956072274469351,0.1576227369816183,-2.3737566748887003e-16,3.0,0.0,120.0,1.0,1.0,1.0,0,318,0.0,0.0,0.0,,,0,0.08,651,711
2211,0,57,1585.25,2.2577007,552,2,0.0036231884057971,0.4883720930232558,0.0175438596491228,10.0,0.0175438596491228,11.458333333333334,13.631874932832872,1.189689864954259,0.2011661807580174,0.4999999926900586,0.1695906407954584,1.4999999999999998,2.0,0.0,64.0,2.0,0.0,0.0,0,450,355.99,353.3751966754832,127.0,662.0,707.0,1,0.08,651,711
2212,0,44,241.5,1.466062,537,90,0.3482309124767225,0.3088235294117647,0.0,3.0454545454545454,0.0,8.13953488372093,18.143057698074458,2.2290014929901707,0.1904761904761904,0.7700534347565008,0.2299465117675662,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0,340,9.83,9.782431283574256,6.0,668.0,679.0,1,0.08,651,711
2213,0,50,3433.52,2.3158102,630,10,0.0158730158730158,0.4065934065934066,0.02,25.56,0.057999997138977,13.191489361702128,16.72623336307935,1.267955438912376,0.2528589580686149,0.4223918548193902,0.1106870221966474,1.5,3.0,0.0,239.0,2.0,1.0,0.0,0,439,51.76,51.51181263069072,13.0,659.0,692.0,1,0.08,651,711
2214,0,12,306.15,5.838276,540,11,0.0203703703703703,0.1279707495429616,0.0,7.25,0.0,52.9,52.2609903380247,0.9879202355164904,0.1333333333333333,0.4661653784838061,0.1729323178246377,1.0,0.0,0.0,651.0,0.0,0.0,0.0,0,338,144.72,143.45937409876743,40.0,671.0,711.0,1,0.08,651,711
2215,0,123,2140.0,2.182496,592,13,0.0219594594594594,0.8180300500834725,0.0,6.341463414634147,0.0,5.123893805309734,3.9734222910367474,0.7754677765260191,0.2161016949152542,0.4171974478004517,0.1337579603635036,-2.000000000000002,5.0,0.0,64.0,5.0,0.0,0.0,0,402,231.81999,230.12283369981702,86.0,655.0,711.0,1,0.08,651,711
2216,0,31,418.71,2.0589836,545,3,0.0055045871559633,0.3297101449275362,0.0,4.967741935483871,0.0,18.689655172413797,17.79868263238254,0.9523275279780636,0.4094827586206896,0.4652173710775056,0.2217391207939512,0.4999999999999998,0.0,0.0,651.0,0.0,0.0,0.0,0,296,35.86,35.62872789691161,6.0,658.0,709.0,1,0.08,651,711
2217,0,155,3687.32,2.2091937,570,2,0.0035087719298245,0.8734835355285961,0.0774193548387096,9.23225806451613,0.1309677370132938,3.972027972027972,4.397412901305057,1.107092362226312,0.2779944289693593,0.5354155017545148,0.2716118222442173,-1.6616296724220897e-15,7.0,0.0,64.0,3.0,4.0,0.0,1,330,297.58,295.6148829763553,126.0,652.0,708.0,1,0.08,651,711
2218,0,17,785.83997,1.9281476,647,6,0.0092735703245749,0.1605504587155963,0.0,22.647058823529413,0.0,40.0625,31.78148045639158,0.7932972860759743,0.4872340425531914,0.6132478501442767,0.2478632425670247,1.0000000000000002,0.0,0.0,651.0,0.0,0.0,0.0,0,374,154.23,152.73092636402654,72.0,663.0,709.0,1,0.08,651,711
