model,rank_test_score,mean_cv_PR_AUC,std_cv_PR_AUC,params
Extra Trees balanced,1,0.36142250140835835,0.062012349408017746,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,2,0.355001159915629,0.054291742326828756,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Extra Trees balanced,3,0.3536129641120918,0.07548502038918696,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,4,0.3531191251267103,0.05294597794273892,"{""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Extra Trees balanced,5,0.3485786026517524,0.0719474167262965,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Extra Trees balanced,6,0.34654435192080013,0.07517054393688655,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,7,0.34489177101204394,0.07085452998427758,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,8,0.3431712830988563,0.05604849480730358,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,9,0.3430635283956314,0.06540529000479019,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
Extra Trees balanced,10,0.33851652340219524,0.07896391530765791,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,11,0.3311173432442465,0.0704243814491426,"{""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,12,0.32073877555346764,0.055497762880936434,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,13,0.31770363430753823,0.05344309171260685,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,14,0.3141229742737117,0.057947014443181837,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Extra Trees balanced,15,0.3122380064981806,0.07018653157424774,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
