household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,Discount_Per_Transaction,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,has_demographic_info,Primary_Store_ID,is_treated_x,treatment_source_x,treatment_cutoff_day_x,is_treated_y,propensity_score,propensity_logit,common_support_flag,treatment_source_y,treatment_cutoff_day_y,p_churn_calibrated,predicted_discounted_value_60d_if_active,risk_decile,priority_segment,risk_rank
1262,0,26,738.42,1.8918731,607,90,0.400329489291598,0.1596091205211726,0.0769230769230769,13.923076923076923,0.0961538461538461,20.22222222222222,27.539395430067,1.3618375621166066,0.4489795918367347,0.3690204927330184,0.0979498838735789,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0,432,1,Heavy_Promo_User,651,1,0.2676201345472533,-1.0067307546013111,True,Heavy_Promo_User,651,0.2564237184481105,36.36258562650259,1,High Risk - Low Value,191
1263,1,120,5083.31,3.7610364,633,41,0.0647709320695102,0.7,0.0333333333333333,11.316666666666666,0.0852499961853027,5.638095238095239,4.433534380855425,0.7863518316222913,0.2728740581270183,0.5409482729474769,0.1212284476226915,-2.0000000000000004,7.0,1.0,27.0,5.0,2.0,0.0,1,354,0,Light/No_Promo_User,651,0,0.3953893246525569,-0.4247138275492346,True,Light/No_Promo_User,651,0.2260219953589264,158.42264988076866,2,High Risk - Low Value,281
1264,0,115,6060.28,4.264203,602,1,0.0016611295681063,0.735632183908046,0.217391304347826,13.078260869565218,0.6991304480511209,5.723809523809524,5.652595112143758,0.9875564889197692,0.4137781629116118,0.5776235881282584,0.1886383339608051,0.999999999999999,7.0,0.0,36.0,4.0,2.0,1.0,1,31782,1,Heavy_Promo_User,651,1,0.5064641170166004,0.0258579087543143,True,Heavy_Promo_User,651,0.0948086924156906,336.27368443321114,6,Low Risk - High Value,1458
1265,0,46,1306.61,1.9070795,533,20,0.0375234521575985,0.4537037037037037,0.2391304347826087,12.543478260869565,0.3649999784386676,12.51219512195122,9.882109975150833,0.7897976318989377,0.3384188626907073,0.6954102824004134,0.304589703691381,0.4999999999999998,1.0,0.0,64.0,1.0,0.0,0.0,0,324,1,Heavy_Promo_User,651,1,0.3559172817485708,-0.5931288131312,True,Heavy_Promo_User,651,0.1498568491965831,83.87119207049476,3,High Risk - Low Value,546
1266,0,104,1496.97,5.6573377,634,2,0.0031545741324921,0.6989079563182528,0.0,3.7115384615384617,0.0,6.723404255319149,5.787276097657631,0.8607644684512926,0.1677588466579292,0.5427069573888705,0.2641261463321137,0.4999999999999992,5.0,0.0,64.0,4.0,1.0,0.0,0,380,0,Light/No_Promo_User,651,0,0.1817685929251413,-1.5044107796984374,True,Light/No_Promo_User,651,0.1039748379007532,128.33082975592163,5,Low Risk - Low Value,1143
1267,0,58,1459.03,2.0993485,572,5,0.0087412587412587,0.6165803108808291,0.0172413793103448,11.086206896551724,0.0086206896551724,9.947368421052632,6.473630722928372,0.6507876195025999,0.1358778625954198,0.3522205152799308,0.1010719739498932,-1.6616296724220897e-15,0.0,0.0,651.0,0.0,0.0,0.0,1,343,0,Light/No_Promo_User,651,0,0.422699844245596,-0.3116999927672583,True,Light/No_Promo_User,651,0.1016736752636098,130.75168357311756,5,Low Risk - Low Value,1222
1268,0,68,2915.53,5.3392363,570,10,0.0175438596491228,0.5459272097053726,0.0,12.176470588235292,0.0,9.655172413793103,7.778855109324072,0.8056663018827519,0.169,0.6232464867410172,0.1763527036437605,-0.5000000000000009,0.0,0.0,651.0,0.0,0.0,0.0,1,31742,0,Light/No_Promo_User,651,0,0.507153078130343,0.0286142647513157,True,Light/No_Promo_User,651,0.111833764763661,212.8391237817304,4,Low Risk - Low Value,953
1269,0,93,2340.59,2.0490234,582,3,0.0051546391752577,0.6536502546689305,0.010752688172043,10.053763440860216,0.0268817204301075,7.72,6.807309267211198,0.8817746696197543,0.3364485981308411,0.5148936126392033,0.1531914880579447,-9.495026699554801e-16,2.0,0.0,147.0,2.0,0.0,0.0,0,31642,0,Light/No_Promo_User,651,0,0.2967329300104706,-0.8629042113757294,True,Light/No_Promo_User,651,0.0884742846171108,239.04433746063853,8,Low Risk - Low Value,1759
127,0,144,3416.83,2.2424653,555,3,0.0054054054054054,0.7722419928825622,0.1875,8.6875,0.5170832739935981,4.416,7.539341975222696,1.707274660886795,0.316348195329087,0.6025504750130155,0.2837406998738538,-2.500000000000002,4.0,0.0,36.0,2.0,0.0,2.0,1,31401,1,Heavy_Promo_User,651,1,0.3014116477948409,-0.8405847280985418,True,Heavy_Promo_User,651,0.0885389616093151,463.6304723510511,8,Low Risk - High Value,1755
1270,0,66,3031.27,4.371683,560,35,0.0625,0.5185185185185185,0.0,11.833333333333334,0.0,9.375,11.843774736121926,1.2633346242960728,0.1814038286235187,0.3771689463272242,0.1141552500990388,-3.0000000000000004,4.0,0.0,48.0,2.0,2.0,0.0,1,31642,0,Light/No_Promo_User,651,0,0.4428490222902745,-0.2296073538467275,True,Light/No_Promo_User,651,0.1610706682818179,223.34030655779264,2,High Risk - Low Value,432
